    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  45 11  3 Ground  46  5  2  15118.8859309725     -               7.43596846905675E-5 0.0000 : pP44(46) : Excited v=1 45 43      E2u - Ground v=0 46 44 E2g
SymmetricTop Excited  44  7  2 Ground  45  1  1  15118.8869066025     -               7.2331345443881E-5  0.0000 : pP42A2g(45) : Excited v=1 44 41      A2u - Ground v=0 45 42 A2g
SymmetricTop Excited  44  6  2 Ground  45  0  1  15118.8869066025     -               7.2331345443881E-5  0.0000 : pP42A1g(45) : Excited v=1 44 41      A1u - Ground v=0 45 42 A1g
SymmetricTop Excited  24  7  8 Ground  25  1  5  15118.9364533025     -               0.00011024052467923 0.0000 : rP0(25) : Excited v=1 24  1      A2u - Ground v=0 25  0 A2g
SymmetricTop Excited  45 11  1 Ground  46  5  1  15118.9385002125     -               0.000102662472051963 0.0000 : pP46(46) : Excited v=1 45 45      E2u - Ground v=0 46 46 E2g
SymmetricTop Excited  44 11  1 Ground  45  5  1  15118.9388254225     -               9.87840120413018E-5 0.0000 : pP44(45) : Excited v=1 44 43      E2u - Ground v=0 45 44 E2g
SymmetricTop Excited  43  7  2 Ground  44  1  1  15118.9394758425     -               9.54692538691581E-5 0.0000 : pP42A2g(44) : Excited v=1 43 41      A2u - Ground v=0 44 42 A2g
SymmetricTop Excited  43  6  2 Ground  44  0  1  15118.9394758425     -               9.54692538691581E-5 0.0000 : pP42A1g(44) : Excited v=1 43 41      A1u - Ground v=0 44 42 A1g
SymmetricTop Excited  42 11  2 Ground  43  5  1  15118.9404514725     -               9.2657550587719E-5  0.0000 : pP40(43) : Excited v=1 42 39      E2u - Ground v=0 43 40 E2g
SymmetricTop Excited  41 11  4 Ground  42  5  2  15118.9417523125     -               9.02962633160175E-5 0.0000 : pP38(42) : Excited v=1 41 37      E2u - Ground v=0 42 38 E2g
SymmetricTop Excited  44 10  2 Ground  45  4  1  15118.91278471       -               8.44095906341898E-5 0.0000 : pP43(45) : Excited v=1 44 42      E1u - Ground v=0 45 43 E1g
SymmetricTop Excited  43 10  3 Ground  44  4  2  15118.91376034       -               8.20174791043967E-5 0.0000 : pP41(44) : Excited v=1 43 40      E1u - Ground v=0 44 41 E1g
