    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  89 11 44 Ground  90  5 22  15118.230724635      -               1.29732697780465E-6 0.0000 : pP26(90) : Excited v=1 89 25      E2u - Ground v=0 90 26 E2g
SymmetricTop Excited  87 10 46 Ground  88  4 23  15118.210408644      -               1.29144905089052E-6 0.0000 : pP19(88) : Excited v=1 87 18      E1u - Ground v=0 88 19 E1g
SymmetricTop Excited  64 10 14 Ground  65  4  8  15118.229996392      -               1.28272486271645E-6 0.0000 : rP43(65) : Excited v=1 64 44      E1u - Ground v=0 65 43 E1g
SymmetricTop Excited  86  9 25 Ground  87  3 13  15118.195843784      -               1.27617420476868E-6 0.0000 : pP15B2g(87) : Excited v=1 86 14      B2u - Ground v=0 87 15 B2g
SymmetricTop Excited  86  8 25 Ground  87  2 13  15118.195843784      -               1.27617420476868E-6 0.0000 : pP15B1g(87) : Excited v=1 86 14      B1u - Ground v=0 87 15 B1g
SymmetricTop Excited  88 11 45 Ground  89  5 23  15118.215205199      -               1.27077488752016E-6 0.0000 : pP22(89) : Excited v=1 88 21      E2u - Ground v=0 89 22 E2g
SymmetricTop Excited  65 10 14 Ground  66  4  8  15118.205885772      -               1.26573732648397E-6 0.0000 : rP43(66) : Excited v=1 65 44      E1u - Ground v=0 66 43 E1g
SymmetricTop Excited  89 10 43 Ground  90  4 22  15118.220280172      -               1.25321729178944E-6 0.0000 : pP25(90) : Excited v=1 89 24      E1u - Ground v=0 90 25 E1g
SymmetricTop Excited  87  6 24 Ground  88  0 12  15118.200242599      -               1.25159389422963E-6 0.0000 : pP18A1g(88) : Excited v=1 87 17      A1u - Ground v=0 88 18 A1g
SymmetricTop Excited  87  7 24 Ground  88  1 12  15118.200242599      -               1.25159389422963E-6 0.0000 : pP18A2g(88) : Excited v=1 87 17      A2u - Ground v=0 88 18 A2g
SymmetricTop Excited  90 11 42 Ground  91  5 21  15118.225633563      -               1.23887523714138E-6 0.0000 : pP28(91) : Excited v=1 90 27      E2u - Ground v=0 91 28 E2g
SymmetricTop Excited  88  9 24 Ground  89  3 12  15118.204919832      -               1.22991178923391E-6 0.0000 : pP21B2g(89) : Excited v=1 88 20      B2u - Ground v=0 89 21 B2g
SymmetricTop Excited  88  8 24 Ground  89  2 12  15118.204919832      -               1.22991178923391E-6 0.0000 : pP21B1g(89) : Excited v=1 88 20      B1u - Ground v=0 89 21 B1g
SymmetricTop Excited  91 10 41 Ground  92  4 21  15118.231265372      -               1.22783915883872E-6 0.0000 : pP31(92) : Excited v=1 91 30      E1u - Ground v=0 92 31 E1g
SymmetricTop Excited  89  7 23 Ground  90  1 12  15118.209875483      -               1.21123939464159E-6 0.0000 : pP24A2g(90) : Excited v=1 89 23      A2u - Ground v=0 90 24 A2g
SymmetricTop Excited  89  6 23 Ground  90  0 12  15118.209875483      -               1.21123939464159E-6 0.0000 : pP24A1g(90) : Excited v=1 89 23      A1u - Ground v=0 90 24 A1g
SymmetricTop Excited  64 11 14 Ground  65  5  8  15118.222296335      -               1.20083587507497E-6 0.0000 : rP44(65) : Excited v=1 64 45      E2u - Ground v=0 65 44 E2g
SymmetricTop Excited  90  9 22 Ground  91  3 11  15118.215109552      -               1.19566815554102E-6 0.0000 : pP27B2g(91) : Excited v=1 90 26      B2u - Ground v=0 91 27 B2g
SymmetricTop Excited  90  8 22 Ground  91  2 11  15118.215109552      -               1.19566815554102E-6 0.0000 : pP27B1g(91) : Excited v=1 90 26      B1u - Ground v=0 91 27 B1g
SymmetricTop Excited  88 11 47 Ground  89  5 24  15118.194674239      -               1.19096718290585E-6 0.0000 : pP20(89) : Excited v=1 88 19      E2u - Ground v=0 89 20 E2g
SymmetricTop Excited  65 11 15 Ground  66  5  8  15118.198185715      -               1.19008470276623E-6 0.0000 : rP44(66) : Excited v=1 65 45      E2u - Ground v=0 66 44 E2g
SymmetricTop Excited  91  6 22 Ground  92  0 11  15118.220622039      -               1.18327888103281E-6 0.0000 : pP30A1g(92) : Excited v=1 91 29      A1u - Ground v=0 92 30 A1g
