Filename,Object,DateObs,setting,WaveMin,WaveMax
/HD23180/RED_564/HD23180_w564_redu_20160819_O15.fits,HD23180,2016-08-19T09:38:57.799,564,6506.0,6614.6
/HD23180/RED_564/HD23180_w564_redl_20160819_O8.fits,HD23180,2016-08-19T09:38:57.799,564,4839.9,4922.0
/HD23180/RED_564/HD23180_w564_redu_20160819_O16.fits,HD23180,2016-08-19T09:38:57.799,564,6576.7,6686.4
/HD23180/RED_564/HD23180_w564_redl_20141029_O9.fits,HD23180,2014-10-29T06:44:17.535,564,4878.8,4961.6
/HD23180/RED_564/HD23180_w564_redl_20160819_O11.fits,HD23180,2016-08-19T09:38:57.799,564,4959.0,5043.0
/HD23180/RED_564/HD23180_w564_redl_20140923_O7.fits,HD23180,2014-09-23T08:52:57.637,564,4801.3,4882.9
/HD23180/RED_564/HD23180_w564_redu_20140923_O10.fits,HD23180,2014-09-23T08:52:57.637,564,6174.1,6277.5
/HD23180/RED_564/HD23180_w564_redu_20141029_O6.fits,HD23180,2014-10-29T06:44:17.535,564,5931.9,6031.4
/HD23180/RED_564/HD23180_w564_redu_20141029_O7.fits,HD23180,2014-10-29T06:44:17.535,564,5990.6,6091.1
/HD23180/RED_564/HD23180_w564_redl_20141029_O6.fits,HD23180,2014-10-29T06:44:17.535,564,4763.5,4844.5
/HD23180/RED_564/HD23180_w564_redu_20160819_O3.fits,HD23180,2016-08-19T09:38:57.799,564,5762.2,5859.1
/HD23180/RED_564/HD23180_w564_redl_20160819_O2.fits,HD23180,2016-08-19T09:38:57.799,564,4618.1,4696.7
/HD23180/RED_564/HD23180_w564_redl_20160819_O12.fits,HD23180,2016-08-19T09:38:57.799,564,5000.0,5084.7
/HD23180/RED_564/HD23180_w564_redu_20140923_O8.fits,HD23180,2014-09-23T08:52:57.637,564,6050.6,6152.0
/HD23180/RED_564/HD23180_w564_redu_20160819_O10.fits,HD23180,2016-08-19T09:38:57.799,564,6173.9,6277.3
/HD23180/RED_564/HD23180_w564_redl_20160819_O9.fits,HD23180,2016-08-19T09:38:57.799,564,4878.9,4961.7
/HD23180/RED_564/HD23180_w564_redu_20141029_O13.fits,HD23180,2014-10-29T06:44:17.535,564,6369.2,6475.6
/HD23180/RED_564/HD23180_w564_n3_20140923_U.fits,HD23180,2014-09-23T08:52:57.637,564,5654.6,6686.7
/HD23180/RED_564/HD23180_w564_redu_20141029_O15.fits,HD23180,2014-10-29T06:44:17.535,564,6506.3,6614.8
/HD23180/RED_564/HD23180_w564_redu_20141029_O4.fits,HD23180,2014-10-29T06:44:17.535,564,5817.7,5915.5
/HD23180/RED_564/HD23180_w564_redl_20160819_O3.fits,HD23180,2016-08-19T09:38:57.799,564,4653.6,4732.8
/HD23180/RED_564/HD23180_w564_redu_20160819_O11.fits,HD23180,2016-08-19T09:38:57.799,564,6237.6,6342.0
/HD23180/RED_564/HD23180_w564_redu_20140923_O11.fits,HD23180,2014-09-23T08:52:57.637,564,6237.8,6342.2
/HD23180/RED_564/HD23180_w564_redl_20140923_O3.fits,HD23180,2014-09-23T08:52:57.637,564,4653.5,4732.7
/HD23180/RED_564/HD23180_w564_redl_20160819_O20.fits,HD23180,2016-08-19T09:38:57.799,564,5354.1,5444.5
/HD23180/RED_564/HD23180_w564_redu_20140923_O12.fits,HD23180,2014-09-23T08:52:57.637,564,6302.8,6408.2
/HD23180/RED_564/HD23180_w564_redu_20160819_O1.fits,HD23180,2016-08-19T09:38:57.799,564,5654.5,5749.6
/HD23180/RED_564/HD23180_w564_redu_20140923_O6.fits,HD23180,2014-09-23T08:52:57.637,564,5931.9,6031.4
/HD23180/RED_564/HD23180_w564_redl_20140923_O16.fits,HD23180,2014-09-23T08:52:57.637,564,5170.9,5258.4
/HD23180/RED_564/HD23180_w564_redu_20160819_O7.fits,HD23180,2016-08-19T09:38:57.799,564,5990.5,6091.0
/HD23180/RED_564/HD23180_w564_redl_20160819_O14.fits,HD23180,2016-08-19T09:38:57.799,564,5084.0,5170.1
/HD23180/RED_564/HD23180_w564_redu_20160819_O13.fits,HD23180,2016-08-19T09:38:57.799,564,6368.9,6475.4
/HD23180/RED_564/HD23180_w564_redu_20141029_O16.fits,HD23180,2014-10-29T06:44:17.535,564,6577.1,6686.7
/HD23180/RED_564/HD23180_w564_redl_20140923_O15.fits,HD23180,2014-09-23T08:52:57.637,564,5127.1,5213.9
/HD23180/RED_564/HD23180_w564_redl_20140923_O12.fits,HD23180,2014-09-23T08:52:57.637,564,4999.9,5084.6
/HD23180/RED_564/HD23180_w564_redu_20140923_O14.fits,HD23180,2014-09-23T08:52:57.637,564,6437.0,6544.5
/HD23180/RED_564/HD23180_w564_redu_20140923_O4.fits,HD23180,2014-09-23T08:52:57.637,564,5817.7,5915.5
/HD23180/RED_564/HD23180_w564_redu_20160819_O14.fits,HD23180,2016-08-19T09:38:57.799,564,6436.7,6544.3
/HD23180/RED_564/HD23180_w564_redl_20140923_O1.fits,HD23180,2014-09-23T08:52:57.637,564,4582.9,4661.0
/HD23180/RED_564/HD23180_w564_redl_20160819_O19.fits,HD23180,2016-08-19T09:38:57.799,564,5307.1,5396.8
/HD23180/RED_564/HD23180_w564_redl_20140923_O13.fits,HD23180,2014-09-23T08:52:57.637,564,5041.6,5127.0
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O16.fits,HD23180,2014-10-29T07:00:41.012,437,4246.0,4311.8
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O2.fits,HD23180,2014-10-29T07:00:41.012,437,3762.5,3821.1
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O22.fits,HD23180,2014-10-29T07:00:41.012,437,4493.4,4562.9
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O5.fits,HD23180,2014-10-29T07:00:41.012,437,3856.6,3916.6
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O7.fits,HD23180,2014-10-29T07:00:41.012,437,3922.0,3983.0
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O22.fits,HD23180,2016-09-14T08:20:19.520,437,4493.4,4562.9
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O12.fits,HD23180,2016-09-14T08:20:19.520,437,4095.6,4159.1
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O18.fits,HD23180,2016-09-14T08:20:19.520,437,4325.3,4392.3
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O23.fits,HD23180,2014-10-29T07:00:41.012,437,4537.5,4607.6
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O4.fits,HD23180,2016-09-14T08:20:19.520,437,3824.7,3884.2
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O31.fits,HD23180,2014-10-29T07:00:41.012,437,4923.7,4999.7
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O24.fits,HD23180,2016-09-14T08:20:19.520,437,4582.4,4653.2
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O19.fits,HD23180,2016-09-14T08:20:19.520,437,4366.2,4433.7
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O6.fits,HD23180,2016-09-14T08:20:19.520,437,3889.0,3949.5
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O26.fits,HD23180,2016-09-14T08:20:19.520,437,4675.0,4747.2
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O10.fits,HD23180,2016-09-14T08:20:19.520,437,4024.3,4086.8
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O19.fits,HD23180,2014-10-29T07:00:41.012,437,4366.2,4433.8
/HD23180/BLUE_437/HD23180_w437_blue_20141029_O25.fits,HD23180,2014-10-29T07:00:41.012,437,4628.2,4699.8
/HD23180/BLUE_437/HD23180_w437_blue_20160914_O29.fits,HD23180,2016-09-14T08:20:19.520,437,4821.1,4895.5
