Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,16,5190.00048828125,5254.41015625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O16.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,17,5234.60546875,5299.72412109375,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O17.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,18,5279.98681640625,5345.82666015625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O18.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,19,5326.13916015625,5392.7373046875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O19.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,2,4637.1123046875,4692.66162109375,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O2.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,20,5373.1337890625,5440.47802734375,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O20.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,12,5018.97509765625,5080.6416015625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O12.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,19,8309.7685546875,8427.1572265625,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O19.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:09.758,564,11,6256.56982421875,6337.955078125,orders/HD183143_2018-09-07T02_32_43_564nm_redu_O11.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:09.758,564,13,6387.9453125,6471.375,orders/HD183143_2018-09-07T02_32_43_564nm_redu_O13.fits
HD 183143,291.861024,18.29532,2018-09-12T03:21:04.524,860,11,7490.93408203125,7594.9541015625,orders/HD183143_2018-09-12T03_16_33_860nm_redl_O11.fits
HD 183143,291.861024,18.29532,2018-09-12T03:21:04.524,860,10,7399.8193359375,7502.34375,orders/HD183143_2018-09-12T03_16_33_860nm_redl_O10.fits
HD 183143,291.861024,18.29532,2018-09-12T03:21:04.524,860,1,6686.7109375,6760.4306640625,orders/HD183143_2018-09-12T03_16_33_860nm_redl_O1.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,9,4002.6748046875,4044.57861328125,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O9.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,8,3968.5478515625,4009.947265625,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O8.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,7,3935.02294921875,3975.919677734375,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O7.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,6,3902.03759765625,3942.4638671875,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O6.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,5,3869.602294921875,3909.54931640625,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O5.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,4,3837.725830078125,3877.1953125,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O4.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,31,4936.77490234375,4989.84130859375,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O31.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,30,4884.94970703125,4940.0908203125,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O30.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,3,3806.34912109375,3845.355224609375,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O3.fits
HD 183143,291.861024,18.29532,2018-09-12T03:16:49.709,437,29,4834.17431640625,4888.57080078125,orders/HD183143_2018-09-12T03_16_33_437nm_blue_O29.fits
